code,brand,type,category,unit_price,cost,notes
P00203,LG,Smartphone,4,1278.15,688.96,Seasonal item
P00204,LG,Keyboard,3,930.82,381.46,New arrival
P00205,Xiaomi,Monitor,1,722.29,410.91,New arrival
P00206,Garmin,Laptop,4,298.08,202.77,
P00207,Sony,Monitor,2,1850.72,880.93,New arrival
P00208,Sony,Mouse,3,1637.62,669.43,Supplier discount
P00209,HP,Laptop,4,1061.68,486.01,Limited stock
P00210,HP,Smartphone,5,1164.83,703.49,New arrival
P00211,Dell,TV,4,1012.67,446.68,New arrival
P00212,Asus,Tablet,1,131.54,66.33,Limited stock
P00213,HP,Tablet,4,497.37,255.16,New model
P00214,Samsung,Tablet,1,949.11,482.57,Limited stock
P00215,Lenovo,Monitor,2,717.5,307.12,Supplier discount
P00216,Toshiba,Laptop,2,1434.81,849.48,Seasonal item
P00217,Sony,Tablet,4,1385.58,859.24,Seasonal item
P00218,LG,Laptop,5,239.47,135.59,Supplier discount
P00219,Samsung,Mouse,4,1691.16,989.38,New model
P00220,Xiaomi,Laptop,1,459.7,300.6,New model
P00221,Lenovo,Headphones,5,1137.65,507.7,Supplier discount
P00222,Panasonic,Tablet,2,1600.7,762.5,Supplier discount
P00223,Xiaomi,Mouse,4,806.39,406.88,New arrival
P00224,Lenovo,Keyboard,1,920.34,572.43,Seasonal item
P00225,Panasonic,Keyboard,5,1061.65,499.48,New arrival
P00226,Logitech,Mouse,1,958.71,509.18,Seasonal item
P00227,LG,Mouse,1,1239.38,561.13,Seasonal item
P00228,Samsung,Monitor,2,426.27,266.49,New model
P00229,Garmin,TV,2,1694.29,805.67,
P00230,LG,Laptop,2,1476.08,624.51,Limited stock
P00231,Samsung,Monitor,1,707.71,445.47,Supplier discount
P00232,Panasonic,Monitor,1,997.17,505.93,
P00233,Xiaomi,Smartphone,5,1463.78,854.37,New arrival
P00234,Dell,Smartphone,1,405.31,245.88,Limited stock
P00235,Garmin,TV,2,505.64,346.08,New model
P00236,Asus,Monitor,4,1058.75,425.83,Limited stock
P00237,Toshiba,Monitor,1,379.0,225.99,Limited stock
P00238,Logitech,Mouse,5,653.73,320.92,New model
P00239,Philips,Speaker,1,687.2,465.62,Supplier discount
P00240,Samsung,Keyboard,2,1885.89,765.83,Limited stock
P00241,Lenovo,Smartwatch,4,652.48,307.84,Seasonal item
P00242,HP,Tablet,4,581.47,347.73,Limited stock
P00243,Logitech,Keyboard,4,56.41,28.9,Supplier discount
P00244,Logitech,Keyboard,1,624.08,423.23,New arrival
P00245,LG,Speaker,2,1868.42,1161.52,Limited stock
P00246,Samsung,Tablet,1,443.69,264.92,
P00247,Xiaomi,TV,1,1265.35,790.72,New arrival
P00248,Garmin,Monitor,1,54.73,24.63,Supplier discount
P00249,Asus,Smartwatch,2,720.15,462.38,New model
P00250,Sony,Speaker,3,450.28,306.94,
P00251,Apple,Tablet,3,1997.72,1223.72,
P00252,Xiaomi,Mouse,4,1350.99,888.98,Limited stock
P00253,LG,TV,2,796.01,541.12,Limited stock
P00254,Philips,TV,1,144.94,75.17,Supplier discount
P00255,Toshiba,Laptop,4,803.46,324.64,
P00256,Garmin,Monitor,1,500.49,211.12,Limited stock
P00257,Lenovo,Laptop,1,1061.14,650.35,New model
P00258,LG,Headphones,4,1838.78,1248.2,Limited stock
P00259,Logitech,Smartwatch,2,651.03,294.69,Supplier discount
P00260,HP,Speaker,1,658.37,270.07,Limited stock
P00261,Asus,Headphones,5,1677.95,814.6,New arrival
P00262,LG,Smartwatch,2,132.52,81.1,Supplier discount
P00263,Dell,Speaker,3,1305.3,536.92,New model
P00264,Logitech,Smartphone,5,747.38,458.55,Supplier discount
P00265,Dell,Tablet,3,1889.66,1097.55,
P00266,Lenovo,Laptop,4,1576.47,771.73,
P00267,Panasonic,Tablet,2,848.22,504.41,Supplier discount
P00268,Samsung,Headphones,4,892.55,547.54,Limited stock
P00269,Apple,Headphones,4,611.29,328.72,Supplier discount
P00270,Garmin,Mouse,4,1285.45,628.13,Limited stock
P00271,Toshiba,Speaker,5,1661.38,862.27,New model
P00272,Garmin,Smartphone,2,1900.96,1137.08,Limited stock
P00273,Garmin,Monitor,2,1280.27,621.41,
P00274,Philips,Laptop,2,483.23,204.44,New model
P00275,Panasonic,Smartwatch,1,1751.87,924.69,
P00276,Dell,Smartwatch,1,799.49,475.23,Seasonal item
P00277,Toshiba,Speaker,2,193.02,93.27,
P00278,HP,Headphones,1,842.42,455.81,New model
P00279,Logitech,TV,1,1366.22,618.64,
P00280,Asus,Speaker,3,1926.13,871.93,Limited stock
P00281,Apple,TV,1,1200.56,831.35,New arrival
P00282,Panasonic,Speaker,2,254.79,134.78,Supplier discount
P00283,Garmin,Tablet,3,174.13,82.34,New arrival
P00284,Panasonic,TV,2,1708.35,915.38,
P00285,Logitech,Smartphone,1,1777.75,1181.49,Supplier discount
P00286,Panasonic,Smartphone,4,1806.65,1226.67,Seasonal item
P00287,LG,Keyboard,4,1679.77,916.41,Seasonal item
P00288,HP,Mouse,1,1250.32,752.08,New arrival
P00289,Toshiba,Headphones,1,1974.84,1365.8,Limited stock
P00290,Toshiba,Keyboard,3,1154.65,521.09,Limited stock
P00291,Dell,Laptop,4,902.12,530.74,
P00292,Sony,Headphones,4,808.92,405.73,Seasonal item
P00293,Lenovo,Speaker,5,490.85,251.55,Seasonal item
P00294,Lenovo,Monitor,4,616.86,306.3,New arrival
P00295,Lenovo,Speaker,5,352.1,140.97,
P00296,Sony,Tablet,1,269.87,132.13,Seasonal item
P00297,Apple,Smartphone,5,1055.14,722.93,Supplier discount
P00298,Dell,Keyboard,1,246.9,152.18,Seasonal item
P00299,Garmin,Headphones,3,209.99,141.95,Limited stock
